document_id,course_id,teacher_id,source_filename,topic,summary,keywords,content_hash,extracted_at
doc_1_5df018d3c0c67859d62ee91a9ba5750427061b58aeeaf14f4a99815fbe1e3928,1,1,transcript BD 2-3 external data acquisition.docx,External Data Acquisition: Network Big Data and Web Crawlers,"This session discusses external data acquisition, focusing on network big data and collection via web crawlers. Network big data from internet interactions has characteristics including multi-source heterogeneity, timeliness, sociality, interactivity, suddenness, and high noise requiring cleaning. A web crawler is a robot that automatically browses the internet, starting with seed URLs, following links, downloading pages, and managing queues. The lecture explains web crawler crawling strategies such as depth-first and breadth-first traversal, the PageRank link analysis algorithm (which ranks page importance based on link quantity and quality), and OPIC (Online Page Importance Computation) which distributes ""gold coins"" for prioritization. Due to the huge crawling task, distributed architecture models (master-slave, peer-to-peer, mixed) enable collaboration among multiple crawlers.","['Network big data', 'Web crawler', 'Crawling strategy', 'Distributed Architecture', 'PageRank', 'OPIC', 'External data acquisition', 'Fan-out URLs', 'Seed URL', 'Master-slave']",5df018d3c0c67859d62ee91a9ba5750427061b58aeeaf14f4a99815fbe1e3928,2026-01-04T17:49:39.662950+00:00
doc_1_cfdd473096783b4a52db03da05bbf96dcded773ac67a1de0f8c6b1033f46feb3,1,1,4 types of NoSQL.docx,Four Types of NoSQL Databases,"The text describes four main types of NoSQL databases: Key Value Pair Based, Column-based, Document-Oriented, and Graph-Based. Key-value stores use unique keys with values that can be JSON, BLOB, or strings, ideal for schema-less data like shopping carts. Column-oriented databases treat each column separately for high-performance aggregation queries, suitable for data warehouses. Document-oriented databases store data as JSON or XML documents, offering flexibility for CMS and e-commerce. Graph-based databases store entities as nodes and relationships as edges, optimized for fast traversal in social networks and logistics. Each type has specific use cases and examples like Redis, Cassandra, MongoDB, and Neo4J.","['NoSQL', 'Key Value Pair Based', 'Column-based', 'Document-Oriented', 'Graph-Based', 'key-value pair', 'JSON', 'aggregation queries', 'social networks', 'BigTable']",cfdd473096783b4a52db03da05bbf96dcded773ac67a1de0f8c6b1033f46feb3,2026-01-04T17:46:12.195852+00:00
doc_1_b4830fc90948261659f92950c2f2d9bdaae880114022d430e24805241bcb1113,1,1,BDA 4-5.docx,Four Main Types of NoSQL Databases,"This session introduces the four main types of NoSQL databases: key-value, column-oriented, document-oriented, and graph-based. Key-value databases store data as simple key-value pairs using hash tables for fast lookup but lack querying by value. Column-oriented databases, based on Google's BigTable, store data by columns (DSM), enabling high compression and efficient aggregation queries but limited transactional support. Document-oriented databases store data as JSON/XML documents, offering schema flexibility and suitability for CMS and real-time analytics. Graph databases represent data as vertices and edges, excelling at relationship-heavy tasks like social networks and recommendation systems. Each type has distinct advantages, limitations, and use cases, with selection depending on specific product needs.","['NoSQL Databases', 'key-value database', 'column-oriented database', 'document-oriented database', 'graph database', 'JSON', 'BigTable', 'hash table', 'DSM', 'schema-less']",b4830fc90948261659f92950c2f2d9bdaae880114022d430e24805241bcb1113,2026-01-04T17:45:43.773808+00:00
doc_1_64bb885bf63152714581258bd9254e319608d65e0f5272b12d7f780ddcd556bc,1,1,BDA 4-1.docx,Data Storing System and Data Modeling in Big Data,"This lecture introduces the data storing system as the foundational layer of big data computing, which also includes data processing and application systems. The data storing system comprises four key parts: data collection and modeling, file systems, databases/data warehouses, and a unified data access interface. Data collection involves gathering from diverse sources (e.g., logs, IoT), followed by cleaning, converting heterogeneous data into standard formats, and building a data model. The presentation details data modeling's role in creating abstract models (conceptual, logical, physical) to organize data entities, attributes, and relationships. It highlights the challenges of big data storage, such as multiple data sources, heterogeneity, and unstructured data, and outlines the ETL (Extract, Transform, Load) process for data preparation. The lecture concludes by summarizing the components of the data layer: acquisition, extraction, transformation, and modeling.","['Data storing system', 'Data modeling', 'Data collection', 'ETL (Extract Transform Load)', 'Conceptual model', 'Logical model', 'Physical model', 'Unified data access interface', 'Big data storage architecture', 'Heterogeneous data']",64bb885bf63152714581258bd9254e319608d65e0f5272b12d7f780ddcd556bc,2026-01-04T17:45:36.698447+00:00
doc_1_63a16b93df0e35d3e6fb565405beb9e36f2ea7b16573fe229ccd5216bd8fd968,1,1,BDA 4-2.docx,Distributed File Systems in Big Data: Architecture and Operations of HDFS,"The lecture focuses on distributed file systems, particularly in big data scenarios, with HDFS as a primary example. It begins by situating distributed file systems within the three categories of big data computing: data storing, processing, and application systems. The distributed file system provides physical storage architecture, enabling transparent, shared access across a network with multiplied storage capacity. Key architectures include open-source HDFS and Google's GFS/Colossus. HDFS uses a master-slave structure with a Name node managing metadata and namespace, and Data nodes storing replicated data blocks (typically 3 copies) for high availability. Data is immutable, supporting only batch read/write operations. The data writing process involves client calls, RPC to the Name node, packet streaming through a pipeline of Data nodes, and acknowledgment queues. The reading process retrieves block locations from the Name node, streams data from the nearest Data node, and handles errors via retries and checksum verification. Secondary name nodes provide recovery if the primary fails.","['big data computing system', 'data storing system', 'distributed file system', 'HDFS', 'Name node', 'Data node', 'data writing process', 'data reading process', 'redundancy', 'immutable data']",63a16b93df0e35d3e6fb565405beb9e36f2ea7b16573fe229ccd5216bd8fd968,2026-01-04T17:45:15.398332+00:00
doc_1_c7dca3e77daeccf1323e9c87dabba4d6bdc5e8ab6582dbd7be7cd14f8dc76bae,1,1,BDA 4-3.docx,Introduction to NoSQL Databases,"The session introduces NoSQL databases within the context of big data computing systems, which comprise data storing, processing, and application systems. It contrasts traditional relational databases (RDBMS) like Oracle and MySQL, which excel with structured data and SQL queries, with the challenges they face in big data scenarios: poor scalability for PB-level data, difficulty handling unstructured/semi-structured data, and incompatibility with processing models like MapReduce. The lecture then explores NoSQL databases (e.g., MongoDB, HBase) built on distributed file systems, highlighting their advantages: good scalability, support for unstructured data, and high concurrency. It details their common structural characteristics: no pre-defined data format, shared-nothing architecture for local data reads, flexible scalability without downtime, data partitioning across nodes with replication for parallelism and fault tolerance, and asynchronous replication providing eventual consistency at the cost of strong consistency guarantees.","['NoSQL', 'relational database (RDBMS)', 'big data', 'distributed file system', 'scalability', 'data partition', 'shared-nothing architecture', 'asynchronous replication', 'MapReduce', 'unstructured data']",c7dca3e77daeccf1323e9c87dabba4d6bdc5e8ab6582dbd7be7cd14f8dc76bae,2026-01-04T17:45:07.859074+00:00
doc_1_57223dfef1b862042eaeb555ae0f70841db206801c4fa7d89a9ceac20998c638,1,1,BDA 6-2.docx,"TensorFlow: Concepts, Mechanisms, and Platform Features for Machine Learning","This session introduces TensorFlow, an open-source machine learning library created by Google, which provides a platform for numerical computation and large-scale ML. The core data unit is a tensor (a multidimensional array), and computation is expressed as dataflow graphs where nodes are operations and edges are tensors."" The lecture covers TensorFlow 2.0's focus on usability and deployment. Key updates include easy model building with Keras (the central high-level API), eager execution for immediate iteration and debugging, tf.data for input pipelines, and the Distribution Strategy API for distributed training across hardware (CPUs, GPUs, TPUs). Workflows involve loading data via tf.data, building models with Keras or Premade Estimators, and using tf.function to convert Python code into optimized graphs. For production, models are exported as SavedModel and deployed via TensorFlow Serving (servers), TensorFlow Lite (mobile/embedded), and TensorFlow.js (JavaScript). Experiments demonstrated include Boston Housing Prediction, Object Detection, and Variational AutoEncoder. The session emphasizes TensorFlow's role as a versatile platform for research, experimentation, and production deployment.","['TensorFlow', 'machine learning', 'deep learning', 'Keras', 'eager execution', 'tensor', 'dataflow graphs', 'SavedModel', 'TPU', 'Distribution Strategy API']",57223dfef1b862042eaeb555ae0f70841db206801c4fa7d89a9ceac20998c638,2026-01-04T17:45:03.568255+00:00
doc_1_94efca3900108aecbca35bc2fc4c923aea64410c2aa29e6e8f31b8647755cf73,1,1,BDA 4-4.docx,NoSQL Database Concepts: CAP Theorem and BASE Transaction Model,"This session introduces NoSQL databases, focusing on two core concepts: the CAP theorem and the BASE transaction model. The CAP theorem states a distributed system cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance, and can only satisfy two, leading to different database design choices (CA, CP, AP). Relational databases (RDBMS) prioritize CA, while NoSQL databases like MongoDB choose CP, and Cassandra chooses AP. The BASE model (Basically Available, Soft-state, Eventual consistency) is contrasted with the ACID properties of traditional databases. BASE prioritizes availability and partition tolerance over strong consistency, leading to eventual consistency, a form of weak consistency.","['NoSQL Database', 'CAP Theorem', 'BASE', 'Distributed System', 'Consistency', 'Availability', 'Partition Tolerance', 'ACID', 'Eventual Consistency', 'Transaction Model']",94efca3900108aecbca35bc2fc4c923aea64410c2aa29e6e8f31b8647755cf73,2026-01-04T17:44:57.204098+00:00
doc_1_f6ac5c19f1d0b31a7631b1833343b2a1253cb4aa3b3423a4cf0c98c7c84e3f1b,1,1,BDA 5-22.docx,Popular Data Analysis Algorithms: Data Mining and Machine Learning,"This chapter introduces popular data analysis algorithms, broadly categorized into data mining algorithms (classification, clustering, correlation analysis, anomaly detection) and machine learning algorithms (supervised, unsupervised, semi‑supervised, reinforcement learning). Within supervised learning, regression, classification, and deep learning are covered; unsupervised learning includes clustering, dimensionality reduction, and anomaly detection. Semi‑supervised learning involves self‑training and low‑density separation models, while reinforcement learning uses dynamic programming and Monte Carlo methods. The chapter focuses on eight key algorithms: Linear Regression, k‑means Clustering, k‑nearest neighbor, Naive Bayes, Apriori, Support Vector Machine, Convolutional Neural Network (CNN), and Principal Component Analysis (PCA). The instruction uses animated videos to enhance understanding.","['data mining algorithms', 'machine learning algorithms', 'supervised learning', 'unsupervised learning', 'semi‑supervised learning', 'reinforcement learning', 'Linear Regression', 'k‑means Clustering', 'Support Vector Machine', 'Principal Component Analysis']",f6ac5c19f1d0b31a7631b1833343b2a1253cb4aa3b3423a4cf0c98c7c84e3f1b,2026-01-04T17:44:34.325269+00:00
doc_1_8691f749595ff348b9c9b3b8a5927b2935b3fd651863b179232332e9aec17cf3,1,1,BDA 6-1.docx,"Apache Spark MLlib: Concepts, Mechanism, and Machine Learning Pipeline","This session introduces Apache Spark MLlib, a scalable machine learning library designed for simplicity, scalability, and integration with Spark components. The lecture covers MLlib's design for ease of use in Java, Scala, Python, and R, its high performance (100x faster than MapReduce), and its ability to run on various infrastructures like Hadoop and Kubernetes. The core components of MLlib—Algorithms, Featurization, Pipeline, and Utilities—are explained. Key machine learning concepts are detailed, including Transformers (which convert data via a transform() method), Estimators (learning algorithms that produce models via fit()), and Evaluators (for model assessment). The session emphasizes the ML Pipeline workflow, which sequences PipelineStages (Transformers and Estimators) to process data, train models, and evaluate performance. Techniques for parameter tuning using tools like ParamGridBuilder and CrossValidator, as well as model persistence for deployment, are also discussed. Finally, a comparison is made, noting that while MLlib is suitable for large datasets, scikit-learn is preferred for smaller datasets.","['Apache Spark MLlib', 'Machine Learning Pipeline', 'Transformer', 'Estimator', 'CrossValidator', 'Parameter Tuning', 'Model Persistence', 'Spark', 'Scalability', 'Big Data Analytics']",8691f749595ff348b9c9b3b8a5927b2935b3fd651863b179232332e9aec17cf3,2026-01-04T17:44:20.165537+00:00
