portfolio,job_title,job_company,required_skill,label,weight,evidence_skills,justification
course_only,BI & Analytics Lead,AtkinsRéalis,Query and analyze data using SQL,fully_satisfied,1.0,"[""Utilize Spark SQL for querying structured big data""]",Portfolio includes querying with Spark SQL.
course_only,BI & Analytics Lead,AtkinsRéalis,Design and implement scalable data pipelines,fully_satisfied,1.0,"[""Design real-time streaming pipelines for high-velocity data"", ""Implement real-time data pipelines with Spark Streaming""]",Portfolio includes designing and implementing scalable streaming and batch pipelines.
course_only,BI & Analytics Lead,AtkinsRéalis,Design and maintain data models for business intelligence,fully_satisfied,1.0,"[""Design conceptual, logical, and physical data models"", ""Design column-oriented storage for data warehousing""]",Portfolio includes designing data models for warehousing and OLAP.
course_only,BI & Analytics Lead,AtkinsRéalis,Develop and maintain business intelligence dashboards and KPIs,fully_satisfied,1.0,"[""Develop BI dashboards from curated enterprise data warehouses""]",Portfolio explicitly includes developing BI dashboards.
course_only,BI & Analytics Lead,AtkinsRéalis,Develop interactive reports and dashboards using Power BI,not_satisfied,0.0,[],Portfolio lacks any mention of Power BI.
course_only,BI & Analytics Lead,AtkinsRéalis,Analyze data to identify trends and patterns,fully_satisfied,1.0,"[""Apply correlation-first analysis over causal modeling in big data projects"", ""Detect redundant attributes using correlation analysis""]",Portfolio contains multiple pattern identification techniques.
course_only,Data Analyst,Mercor,Anonymize sensitive data within spreadsheet documents,partly_satisfied,0.4,"[""Anonymize personally identifiable information (PII) in data pipelines""]",Portfolio includes anonymizing PII but not specifically within spreadsheet documents.
course_only,Data Analyst,Mercor,Build and maintain complex spreadsheets in Google Sheets,not_satisfied,0.0,[],No portfolio skill mentions Google Sheets or spreadsheet construction/maintenance.
course_only,Data Analyst,Mercor,Apply spreadsheet formulas for calculations and data analysis,partly_satisfied,0.4,"[""Aggregate detailed data with sum, average, or count operations""]",Portfolio shows data aggregation via sum/average/count but not within spreadsheet formulas.
course_only,Data Analyst,Mercor,Structure multi-tab spreadsheet documents for project tracking,not_satisfied,0.0,[],No portfolio skill relates to structuring multi-tab spreadsheet documents.
course_only,Big Data Developer,Galent,Design and implement scalable data pipelines,fully_satisfied,1.0,"[""Design real-time streaming pipelines for high-velocity data"", ""Implement real-time data pipelines with Spark Streaming"", ""Build ETL workflows to ingest structured and unstructured data into HDFS""]","Portfolio directly includes designing and implementing both streaming and batch data pipelines, matching the required competency."
course_only,Big Data Developer,Galent,"Integrate data from various sources using ETL tools like Informatica, Talend, or Apache Airflow",satisfied,0.75,"[""Build ETL workflows with open-source Kettle tool"", ""Perform data extraction, transformation, and loading (ETL)""]","Portfolio shows hands-on use of Kettle, a similar ETL tool, plus core ETL skills, providing equivalent coverage."
course_only,Big Data Developer,Galent,Implement CI/CD pipelines and infrastructure-as-code practices,not_satisfied,0.0,[],"No portfolio skills mention CI/CD, infrastructure-as-code, version control, or related automation practices."
course_only,Big Data Developer,Galent,Leverage generative AI tools to enhance development productivity and automate code generation,not_satisfied,0.0,[],"No portfolio skills involve generative AI, code generation, or using such tools for productivity."
course_only,Big Data Developer,Galent,Develop and maintain APIs,satisfied,0.75,"[""Serve models via TensorFlow Serving over REST""]","Serving models via REST APIs demonstrates API development skills, fulfilling the requirement equivalently."
course_only,Data Analyst,ADF Medical,Track KPIs and performance metrics,not_satisfied,0.0,[],"No portfolio skill mentions tracking KPIs, performance metrics, or related business monitoring."
course_only,Data Analyst,ADF Medical,Collect and clean large datasets,fully_satisfied,1.0,"[""Clean and preprocess raw data from multiple sources"", ""Perform data extraction, transformation, and loading (ETL)""]",Portfolio includes explicit skills for cleaning raw data and ETL collection of large datasets.
course_only,Data Analyst,ADF Medical,Ensure data accuracy and integrity,satisfied,0.75,"[""Define data governance rules for compliance, privacy, and quality"", ""Apply MD5 checksum for full table comparison extraction""]","Data governance covers quality/accuracy, and checksums ensure integrity; together they reasonably satisfy the requirement."
course_only,Data Analyst,ADF Medical,Analyze data to identify trends and patterns,satisfied,0.75,"[""Apply correlation-first analysis over causal modeling in big data projects"", ""Analyze social networks with NetworkX library"", ""Apply linear regression to smooth data""]","Multiple analysis skills (correlation, regression, graph analysis) equip the candidate to identify trends and patterns."
